Date,Jumlah Bidan,Jumlah Perawat,Jumlah Dokter Umum,Jumlah Ahli Gizi,AVLOS (Day),BOR (%),GDR (/K),Layanan OBGYN,NDR (/K),TOI (Day),Bayi BBLR,Rasio_BBLR,Persentase_ASI,Rasio_AKI,Rasio_AKB,days_in_month,HI,BTO_month,IdleShare,EDR,ASI_gap_target,BOR_status,TOI_status,Capacity_alert,BOR (%)_fc_lower,BOR (%)_fc_upper,AVLOS (Day)_fc_lower,AVLOS (Day)_fc_upper,NDR (/K)_fc_lower,NDR (/K)_fc_upper,GDR (/K)_fc_lower,GDR (/K)_fc_upper,TOI (Day)_fc_lower,TOI (Day)_fc_upper,Rasio_AKI_fc_lower,Rasio_AKI_fc_upper,Rasio_AKB_fc_lower,Rasio_AKB_fc_upper,Rasio_BBLR_fc_lower,Rasio_BBLR_fc_upper
2023-12-01,,,,,3.0966666666666662,85.68333333333334,37.06,664.0,20.06,0.9166666666666666,181.0,0.3656565656565657,0.7268000000000001,1.4,1.69,31.0,4.013333333333333,7.724252491694354,0.14316666666666666,17.000000000000004,-79.2732,saturated,cepat,1.0,,,,,,,,,,,,,,,,
2024-01-01,,,,,3.90375,70.06142857142858,60.99333333333334,822.0,33.82625,2.20125,53.0,0.107070707070707,0.7268000000000001,1.2691818518416405,1.6333424598924922,31.0,6.105,5.077805077805078,0.29938571428571426,27.167083333333338,-79.2732,optimal,sehat,0.0,,,,,,,,,,,1.0254394575136498,1.512924246169631,1.6310078832974875,1.6356770364874968,,
2024-02-01,,,,,4.02125,71.12285714285714,51.34666666666666,1050.0,27.29,2.1475,53.0,0.107070707070707,0.7359,1.2810732678787282,1.6333492600618589,29.0,6.16875,4.701114488348531,0.28877142857142857,24.056666666666658,-79.2641,optimal,sehat,0.0,,,,,,,,,,,1.0373308735507376,1.5248156622067188,1.6310146834668542,1.6356838366568636,,
2024-03-01,,,,,4.0475,72.59142857142857,53.79333333333333,810.0,26.04125,1.9025,53.0,0.107070707070707,0.7359,1.292956448719509,1.633356139701995,31.0,5.95,5.2100840336134455,0.2740857142857144,27.752083333333328,-79.2641,optimal,sehat,0.0,,,,,,,,,,,1.0492140543915185,1.5366988430474997,1.6310215631069902,1.6356907162969996,,
2024-04-01,,,,,3.9475,68.82714285714285,52.51,766.0,25.81625,2.225,55.0,0.1111111111111111,0.7359,1.3048484736220634,1.6333563612286022,30.0,6.172499999999999,4.860267314702309,0.3117285714285716,26.693749999999998,-79.2641,optimal,sehat,0.0,,,,,,,,,,,1.0611060792940727,1.548590867950054,1.6310217846335975,1.6356909378236069,,
2024-05-01,,,,,3.96375,71.14428571428572,45.39111111111111,896.0,22.515,2.1,55.0,0.1111111111111111,0.7359,1.316754224584465,1.6333564801205507,31.0,6.063750000000001,5.112347969490826,0.28855714285714285,22.876111111111108,-79.2641,optimal,sehat,0.0,,,,,,,,,,,1.0730118302564744,1.5604966189124556,1.631021903525546,1.6356910567155554,,
2024-06-01,,,,,4.01875,63.62714285714286,50.24777777777778,838.0,25.6775,2.605,55.0,0.1111111111111111,0.7359,1.328636181838172,1.6333479402783584,30.0,6.623749999999999,4.529156444612191,0.3637285714285714,24.57027777777778,-79.2641,optimal,sehat,0.0,,,,,,,,,,,1.0848937875101814,1.5723785761661626,1.6310133636833537,1.635682516873363,,
2024-07-01,,,,,3.9875,62.56,48.02222222222222,876.0,26.205,2.61,44.0,0.0888888888888888,0.7359,1.3405384480051408,1.6333384004743055,31.0,6.5975,4.6987495263357335,0.37439999999999996,21.81722222222222,-79.2641,optimal,sehat,0.0,,,,,,,,,,,1.0967960536771502,1.5842808423331314,1.6310038238793008,1.6356729770693101,,
2024-08-01,,,,,4.04375,62.04285714285714,45.45222222222222,738.0,24.81,2.61875,44.0,0.0888888888888888,0.7359,1.352437424062079,1.6333285283499681,31.0,6.6625,4.6529080675422145,0.37957142857142867,20.64222222222222,-79.2641,optimal,sehat,0.0,,,,,,,,,,,1.1086950297340883,1.5961798183900695,1.6309939517549634,1.6356631049449728,,
2024-09-01,,,,,4.03,59.31857142857143,42.35,792.0,24.39125,3.1225,44.0,0.0888888888888888,0.7359,1.3643246519197163,1.6333214390033086,30.0,7.1525,4.194337644180357,0.4068142857142857,17.958750000000002,-79.2641,under-utilized,lambat,0.0,,,,,,,,,,,1.1205822575917257,1.608067046247707,1.630986862408304,1.6356560155983133,,
2024-10-01,,,,,3.9825,64.86571428571429,46.27222222222222,1020.0,23.23875,2.71875,166.0,0.3353535353535353,0.7359,1.3762229237181667,1.6333186326720412,31.0,6.70125,4.626002611453087,0.35134285714285707,23.03347222222222,-79.2641,optimal,sehat,0.0,,,,,,,,,,,1.132480529390176,1.6199653180461573,1.6309840560770366,1.635653209267046,,
2024-11-01,,,,,4.105,64.20142857142858,50.96222222222222,940.0,25.47375,2.7025,166.0,0.3353535353535353,0.7359,1.3881185259613424,1.6333198285630537,30.0,6.807500000000001,4.40690414983474,0.35798571428571424,25.488472222222224,-79.2641,optimal,sehat,0.0,,,,,,,,,,,1.1443761316333518,1.631860920289333,1.630985251968049,1.6356544051580584,,
2024-12-01,,,,,4.1975,61.18571428571429,53.85,831.0,25.13375,2.61125,166.0,0.3353535353535353,0.7359,1.4000000001770476,1.6333260048625329,31.0,6.80875,4.55296493482651,0.3881428571428571,28.716250000000002,-79.2641,optimal,sehat,0.0,,,,,,,,,,,1.156257605849057,1.6437423945050382,1.6309914282675282,1.6356605814575376,,
2025-01-01,,,,,4.07,62.745000000000005,48.33,792.0,30.1375,2.51375,9.0,0.0181818181818181,0.0,1.2691818518416405,1.5766684344525232,31.0,6.58375,4.708562749193089,0.37254999999999994,18.1925,-80.0,optimal,sehat,0.0,,,,,,,,,,,1.0254394575136498,1.512924246169631,1.5743338578575186,1.579003011047528,,
2025-02-01,,,,,4.11375,69.18833333333333,45.6,754.0,29.8525,2.3712500000000003,9.0,0.0181818181818181,0.0,1.2810732678787282,1.57667523462189,28.0,6.484999999999999,4.317656129529684,0.3081166666666667,15.747500000000002,-80.0,optimal,sehat,0.0,,,,,,,,,,,1.0373308735507376,1.5248156622067188,1.5743406580268853,1.5790098112168947,,
2025-03-01,,,,,3.8625,58.25666666666666,46.644444444444446,786.0,22.075,3.32625,9.0,0.0181818181818181,0.0,1.292956448719509,1.576682114262026,31.0,7.18875,4.312293514171449,0.41743333333333343,24.569444444444446,-80.0,under-utilized,lambat,0.0,,,,,,,,,,,1.0492140543915185,1.5366988430474997,1.5743475376670213,1.5790166908570307,,
2025-04-01,,,,,4.13375,64.83999999999999,39.79,810.0,34.62375,2.90375,31.0,0.0626262626262626,0.0,1.3048484736220634,1.5766823357886333,30.0,7.0375,4.262877442273535,0.35160000000000013,5.166249999999998,-80.0,optimal,sehat,0.0,,,,,,,,,,,1.0611060792940727,1.548590867950054,1.5743477591936286,1.579016912383638,,
2025-05-01,,,,,3.56125,43.77666666666666,28.95125,821.0,9.48875,2.29125,31.0,0.0626262626262626,0.0,1.316754224584465,1.5766824546805818,31.0,5.852499999999999,5.296881674498079,0.5622333333333334,19.462500000000002,-80.0,under-utilized,sehat,0.0,,,,,,,,,,,1.0730118302564744,1.5604966189124556,1.574347878085577,1.5790170312755865,,
2025-06-01,,,,,2.91875,41.60166666666667,40.5475,673.0,16.896250000000002,2.82375,31.0,0.0626262626262626,0.0,1.328636181838172,1.5766739148383895,30.0,5.7425,5.22420548541576,0.5839833333333333,23.651249999999997,-80.0,under-utilized,sehat,0.0,,,,,,,,,,,1.0848937875101814,1.5723785761661626,1.5743393382433848,1.5790084914333942,,
2025-07-01,,,,,2.9725,41.36,28.2,391.0,10.32,2.3925,,0.0888888888888888,0.0,,,31.0,5.365,5.778191985088537,0.5864,17.88,-80.0,under-utilized,sehat,0.0,,,,,,,,,,,,,,,0.0,0.2316582955827155
2025-08-01,,,,,2.999742905153543,42.89445670778699,45.45222222222222,,24.81,2.550095693592469,,0.0888888888888888,0.0,,,31.0,,,,,-80.0,,,0.0,32.07436270509798,53.714550710476004,2.5330184082277127,3.4664674020793735,0.0,54.29475885602926,4.5074074269069015,86.39703701753754,1.3398536397852077,3.7603377473997304,,,,,0.0,0.2316582955827155
2025-09-01,,,,,2.7161520047372085,42.176664674273916,42.35,,24.39125,2.8012779321318964,,0.0888888888888888,0.0,,,30.0,,,,,-80.0,,,0.0,31.356570671584908,52.996758676962926,2.249427507811378,3.182876501663039,0.0,53.87600885602926,1.4051852046846847,83.29481479531532,1.591035878324635,4.011519985939158,,,,,0.0,0.2316582955827155
2025-10-01,,,,,2.7924599796578926,47.29375676456203,46.27222222222222,,23.23875,2.179311182618009,,0.3353535353535353,0.0,,,31.0,,,,,-80.0,,,0.0,36.47366276187303,58.11385076725104,2.325735482732062,3.259184476583723,0.0,52.723508856029255,5.327407426906902,87.21703701753754,0.9690691288107476,3.3895532364252703,,,,,0.1925841286597086,0.478122942047362
2025-11-01,,,,,2.769602504200183,49.623947320357395,50.96222222222222,,25.47375,1.881739573106397,,0.3353535353535353,0.0,,,30.0,,,,,-80.0,,,0.0,38.803853317668384,60.444041323046406,2.3028780072743524,3.2363270011260132,0.0,54.958508856029255,10.017407426906907,91.90703701753753,0.6714975192991357,3.0919816269136584,,,,,0.1925841286597086,0.478122942047362
2025-12-01,,,,,2.8575745260518786,52.5194047896932,53.85,,25.13375,1.818736014502447,,0.3353535353535353,0.0,,,31.0,,,,,-80.0,,,0.0,41.699310787004194,63.3394987923822,2.390850029126048,3.324299022977709,0.0,54.61850885602926,12.905185204684685,94.79481479531532,0.6084939606951856,3.0289780683097085,,,,,0.1925841286597086,0.478122942047362
2026-01-01,,,,,3.0373163131239176,49.84748842874255,48.33,,30.1375,1.977726945135998,,0.0181818181818181,,,,,,,,,,,,,39.02739442605355,60.667582431431555,2.570591816198087,3.504040810049748,0.65274114397074,59.62225885602926,7.3851852046846815,89.27481479531531,0.7674848913287367,3.1879689989432594,,,,,0.0,0.1609512248756448
2026-02-01,,,,,3.0654414423098846,49.55591648037983,45.6,,29.8525,2.4123190278255047,,0.0181818181818181,,,,,,,,,,,,,38.73582247769082,60.37601048306884,2.598716945384054,3.532165939235715,0.36774114397073987,59.33725885602926,4.655185204684685,86.54481479531532,1.2020769740182433,3.622561081632766,,,,,0.0,0.1609512248756448
2026-03-01,,,,,2.976985008607826,49.28727284548401,46.644444444444446,,22.075,2.1545256095374734,,0.0181818181818181,,,,,,,,,,,,,38.46717884279501,60.107366848173015,2.5102605116819956,3.4437095055336564,0.0,51.55975885602926,5.699629649129129,87.58925923975977,0.944283555730212,3.3647676633447348,,,,,0.0,0.1609512248756448
2026-04-01,,,,,2.949780441612814,46.934589781883304,39.79,,34.62375,2.4383515146965067,,0.0626262626262626,,,,,,,,,,,,,36.1144957791943,57.75468378457231,2.4830559446869835,3.4165049385386443,5.138991143970742,64.10850885602926,0.0,80.73481479531532,1.2281094608892453,3.648593568503768,,,,,0.0,0.2053956693200893
