target,date,yhat,yhat_lower,yhat_upper,model,last_obs
BOR (%),2025-08-01,42.89445670778699,32.07436270509798,53.714550710476004,"ETS(add,None)",2025-07-01
BOR (%),2025-09-01,42.176664674273916,31.356570671584908,52.996758676962926,"ETS(add,None)",2025-07-01
BOR (%),2025-10-01,47.29375676456203,36.47366276187303,58.11385076725104,"ETS(add,None)",2025-07-01
BOR (%),2025-11-01,49.623947320357395,38.803853317668384,60.444041323046406,"ETS(add,None)",2025-07-01
BOR (%),2025-12-01,52.5194047896932,41.699310787004194,63.3394987923822,"ETS(add,None)",2025-07-01
BOR (%),2026-01-01,49.84748842874255,39.02739442605355,60.667582431431555,"ETS(add,None)",2025-07-01
BOR (%),2026-02-01,49.55591648037983,38.73582247769082,60.37601048306884,"ETS(add,None)",2025-07-01
BOR (%),2026-03-01,49.28727284548401,38.46717884279501,60.107366848173015,"ETS(add,None)",2025-07-01
BOR (%),2026-04-01,46.934589781883304,36.1144957791943,57.75468378457231,"ETS(add,None)",2025-07-01
BOR (%),2026-05-01,46.573597905915555,35.753503903226544,57.393691908604566,"ETS(add,None)",2025-07-01
BOR (%),2026-06-01,44.55940432583514,33.73931032314613,55.37949832852415,"ETS(add,None)",2025-07-01
BOR (%),2026-07-01,41.033027123492296,30.21293312080329,51.85312112618131,"ETS(add,None)",2025-07-01
BOR (%),2026-08-01,42.89445670778699,32.07436270509798,53.714550710476004,"ETS(add,None)",2025-07-01
BOR (%),2026-09-01,42.176664674273916,31.356570671584908,52.996758676962926,"ETS(add,None)",2025-07-01
BOR (%),2026-10-01,47.29375676456203,36.47366276187303,58.11385076725104,"ETS(add,None)",2025-07-01
BOR (%),2026-11-01,49.623947320357395,38.803853317668384,60.444041323046406,"ETS(add,None)",2025-07-01
BOR (%),2026-12-01,52.5194047896932,41.699310787004194,63.3394987923822,"ETS(add,None)",2025-07-01
BOR (%),2027-01-01,49.84748842874255,39.02739442605355,60.667582431431555,"ETS(add,None)",2025-07-01
AVLOS (Day),2025-08-01,2.999742905153543,2.5330184082277127,3.4664674020793735,"ETS(add,None)",2025-07-01
AVLOS (Day),2025-09-01,2.7161520047372085,2.249427507811378,3.182876501663039,"ETS(add,None)",2025-07-01
AVLOS (Day),2025-10-01,2.7924599796578926,2.325735482732062,3.259184476583723,"ETS(add,None)",2025-07-01
AVLOS (Day),2025-11-01,2.769602504200183,2.3028780072743524,3.2363270011260132,"ETS(add,None)",2025-07-01
AVLOS (Day),2025-12-01,2.8575745260518786,2.390850029126048,3.324299022977709,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-01-01,3.0373163131239176,2.570591816198087,3.504040810049748,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-02-01,3.0654414423098846,2.598716945384054,3.532165939235715,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-03-01,2.976985008607826,2.5102605116819956,3.4437095055336564,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-04-01,2.949780441612814,2.4830559446869835,3.4165049385386443,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-05-01,2.9684096240363087,2.5016851271104783,3.435134120962139,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-06-01,2.8467891468348396,2.3800646499090092,3.31351364376067,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-07-01,2.9725000010723006,2.50577550414647,3.439224497998131,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-08-01,2.999742905153543,2.5330184082277127,3.4664674020793735,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-09-01,2.7161520047372085,2.249427507811378,3.182876501663039,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-10-01,2.7924599796578926,2.325735482732062,3.259184476583723,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-11-01,2.769602504200183,2.3028780072743524,3.2363270011260132,"ETS(add,None)",2025-07-01
AVLOS (Day),2026-12-01,2.8575745260518786,2.390850029126048,3.324299022977709,"ETS(add,None)",2025-07-01
AVLOS (Day),2027-01-01,3.0373163131239176,2.570591816198087,3.504040810049748,"ETS(add,None)",2025-07-01
NDR (/K),2025-08-01,24.81,0.0,54.29475885602926,S-Naive,2025-07-01
NDR (/K),2025-09-01,24.39125,0.0,53.87600885602926,S-Naive,2025-07-01
NDR (/K),2025-10-01,23.23875,0.0,52.723508856029255,S-Naive,2025-07-01
NDR (/K),2025-11-01,25.47375,0.0,54.958508856029255,S-Naive,2025-07-01
NDR (/K),2025-12-01,25.13375,0.0,54.61850885602926,S-Naive,2025-07-01
NDR (/K),2026-01-01,30.1375,0.65274114397074,59.62225885602926,S-Naive,2025-07-01
NDR (/K),2026-02-01,29.8525,0.36774114397073987,59.33725885602926,S-Naive,2025-07-01
NDR (/K),2026-03-01,22.075,0.0,51.55975885602926,S-Naive,2025-07-01
NDR (/K),2026-04-01,34.62375,5.138991143970742,64.10850885602926,S-Naive,2025-07-01
NDR (/K),2026-05-01,9.48875,0.0,38.973508856029255,S-Naive,2025-07-01
NDR (/K),2026-06-01,16.896250000000002,0.0,46.38100885602926,S-Naive,2025-07-01
NDR (/K),2026-07-01,10.32,0.0,39.80475885602926,S-Naive,2025-07-01
NDR (/K),2026-08-01,24.81,0.0,54.29475885602926,S-Naive,2025-07-01
NDR (/K),2026-09-01,24.39125,0.0,53.87600885602926,S-Naive,2025-07-01
NDR (/K),2026-10-01,23.23875,0.0,52.723508856029255,S-Naive,2025-07-01
NDR (/K),2026-11-01,25.47375,0.0,54.958508856029255,S-Naive,2025-07-01
NDR (/K),2026-12-01,25.13375,0.0,54.61850885602926,S-Naive,2025-07-01
NDR (/K),2027-01-01,30.1375,0.65274114397074,59.62225885602926,S-Naive,2025-07-01
GDR (/K),2025-08-01,45.45222222222222,4.5074074269069015,86.39703701753754,S-Naive,2025-07-01
GDR (/K),2025-09-01,42.35,1.4051852046846847,83.29481479531532,S-Naive,2025-07-01
GDR (/K),2025-10-01,46.27222222222222,5.327407426906902,87.21703701753754,S-Naive,2025-07-01
GDR (/K),2025-11-01,50.96222222222222,10.017407426906907,91.90703701753753,S-Naive,2025-07-01
GDR (/K),2025-12-01,53.85,12.905185204684685,94.79481479531532,S-Naive,2025-07-01
GDR (/K),2026-01-01,48.33,7.3851852046846815,89.27481479531531,S-Naive,2025-07-01
GDR (/K),2026-02-01,45.6,4.655185204684685,86.54481479531532,S-Naive,2025-07-01
GDR (/K),2026-03-01,46.644444444444446,5.699629649129129,87.58925923975977,S-Naive,2025-07-01
GDR (/K),2026-04-01,39.79,0.0,80.73481479531532,S-Naive,2025-07-01
GDR (/K),2026-05-01,28.95125,0.0,69.89606479531531,S-Naive,2025-07-01
GDR (/K),2026-06-01,40.5475,0.0,81.49231479531531,S-Naive,2025-07-01
GDR (/K),2026-07-01,28.2,0.0,69.14481479531531,S-Naive,2025-07-01
GDR (/K),2026-08-01,45.45222222222222,4.5074074269069015,86.39703701753754,S-Naive,2025-07-01
GDR (/K),2026-09-01,42.35,1.4051852046846847,83.29481479531532,S-Naive,2025-07-01
GDR (/K),2026-10-01,46.27222222222222,5.327407426906902,87.21703701753754,S-Naive,2025-07-01
GDR (/K),2026-11-01,50.96222222222222,10.017407426906907,91.90703701753753,S-Naive,2025-07-01
GDR (/K),2026-12-01,53.85,12.905185204684685,94.79481479531532,S-Naive,2025-07-01
GDR (/K),2027-01-01,48.33,7.3851852046846815,89.27481479531531,S-Naive,2025-07-01
TOI (Day),2025-08-01,2.550095693592469,1.3398536397852077,3.7603377473997304,"ETS(add,None)",2025-07-01
TOI (Day),2025-09-01,2.8012779321318964,1.591035878324635,4.011519985939158,"ETS(add,None)",2025-07-01
